deal,opp_id,ok,win,mom,eng,retired
Georgia Technology Authority,006P700000TcHTl,True,20.0,18.0,10.10,0
National Procurement Commission of Papua New Guinea (PNG),006P700000Eo6QN,True,34.0,33.0,10.10,0
NORTHPORT (MALAYSIA) BHD,006P700000QFJwD,True,40.0,38.0,10.10,0
"Simpson Manufacturing Co., Inc",006P700000XU8ht,True,37.0,20.0,10.10,0
Thiess,006P700000WXMP7,True,32.0,37.0,10.10,0
Swift SC,006P700000PONMr,True,78.0,56.0,10.10,0
Roivant Sciences Ltd,006P700000VM8BZ,True,30.0,22.0,10.10,0
"Bailey Nurseries, Inc.",006P700000UAGyH,True,22.0,18.0,10.10,0
"Cadence Design Systems, Inc.",006P700000XNms9,True,20.0,15.0,10.10,0
DFI Retail Group,006P700000Vo3iP,True,21.0,10.0,10.10,0
DUBAI WORLD TRADE CENTRE,006P700000MB1SN,True,26.0,15.0,10.10,0
NATIONAL HOLDING,006P700000Na0Vh,True,32.0,22.0,10.10,0
New Balance,006P700000TC0eh,True,26.0,12.0,10.10,0
PV Group,006P700000Qjugc,True,50.0,45.0,10.10,0
Revvity Inc,006P700000OBXpv,True,10.0,6.0,10.10,0
Rompetrol Group - Romania,006P700000OzowY,True,24.0,20.0,10.10,0
The Government of Scotland,0066700000wcFd7,True,14.0,8.0,10.10,0
Bright Horizons Family Solutions,006P700000JwvB3,True,84.0,66.0,10.10,0
Manscaped,006P700000VFXEl,True,47.0,60.0,10.10,0
"Consumer Cellular, Inc",006P700000OcxpH,True,80.0,86.0,10.10,0
Bayerische Milchindustrie eG,006P700000VmJw9,True,56.0,63.0,10.10,0
Corporativo Fragua SAB de CV,006P700000XmQAe,True,28.0,54.0,10.10,0
DOMINO'S PIZZA ENTERPRISES LIMITED,006P700000X6hvK,True,47.0,48.0,10.10,0
Pladis Global,006P700000UEmI2,True,58.0,67.0,10.10,0
Renuity,006P700000Z4up4,True,53.0,60.0,10.10,0
Scheme Financial Vehicle,006P700000QKfzN,True,40.0,22.0,10.10,0
DuBois Chemicals Inc.,006P700000QcBt7,True,37.0,20.0,10.10,0
BMI Group,006P700000MJHTV,True,40.0,41.0,10.10,0
Nedbank Ltd,006P700000SVTGx,True,24.0,12.0,10.10,0
Truist,006P700000YjiED,True,48.0,62.0,10.10,0
United Overseas Bank Limited Co,006P700000YH9L3,True,40.0,48.0,10.10,0
"Cadence Design Systems, Inc.",006P700000ShX3q,True,48.0,20.0,10.10,0
Conga,006P700000QyOq5,True,30.0,18.0,10.10,0
Cooke,006P700000IKLig,True,18.0,8.0,10.10,0
"Kontoor Brands, Inc.",006P700000Rx8Bh,True,16.0,17.0,10.10,0
Marvin Engineering Company,006P700000a1ptN,True,42.0,62.0,10.10,0
Public Investment Fund (PIF),006P700000OPKQl,True,18.0,18.0,10.10,0
Yondr Group Limited,006P700000YjU3D,True,41.0,57.0,10.10,0
University of Wollongong in Dubai,006P700000T0trq,True,22.0,20.0,10.10,0
Amy's Kitchen Inc,006P700000QHQK5,True,46.0,46.0,10.10,0
ACEN,006P700000DkWgX,True,27.0,5.0,10.10,0
AAK,006P700000UNHh5,True,36.0,10.0,10.10,0
Fortive Corporation,006P700000XgoYU,True,30.0,15.0,10.10,0
Department of Justice,006P700000Ly6Mb,True,19.0,10.0,10.10,0
Orano,006P700000XAWzh,True,30.0,42.0,10.10,0
Allstate,006P7000006uKrq,True,36.0,10.0,10.10,0
ALTRAD,006P700000KCwMV,True,27.0,14.0,10.10,0
EQUATE PETROCHEMICAL COMPANY,006P700000VkJXF,True,22.0,13.0,10.10,0
HP Hood LLC,006P700000Xpq4n,True,28.0,42.0,10.10,0
The Hong Kong Jockey Club,006P700000YN6Nh,True,46.0,62.0,10.10,0
Ubisoft Entertainment,006P700000TJa8k,True,60.0,81.6,10.10,0
Metallus,006P700000XjBcE,True,42.0,55.0,10.10,0
SOUTH AFRICAN REVENUE SERVICES ( SARS ),006P700000UZv8c,True,35.0,38.0,10.10,0
GAMUDA BERHAD,006P700000Q15OU,True,32.0,10.0,10.10,0
Regents of the University of California,006P700000YrpX3,True,12.0,15.0,10.10,0
Watchtower Bible Tract Society of New York,006P700000KmkeX,True,36.0,12.0,10.10,0
Etex Group,006P700000UGPE5,True,31.0,70.0,10.10,0
"GLOBE TELECOM, INC",006P7000008hZHF,True,30.0,22.0,10.10,0
Hager Group,006P700000QOnIL,True,50.0,49.0,10.10,0
Lions Gate Entertainment Inc,006P700000UuxCD,True,36.0,41.0,10.10,0
Mantu group,006P700000QFXJH,True,22.0,15.0,10.10,0
"McAfee, LLC",006P700000JM8aH,True,41.0,52.0,10.10,0
GoTyme Bank,006P700000L0d8Z,True,12.0,4.0,10.10,0
IAG GBS,006P700000R7uh3,True,45.0,52.0,10.10,0
Virgin Australia Airlines Pty Ltd,006P700000PRFG1,True,24.0,18.0,10.10,0
Alghanim Industries,006P700000OUsd6,True,48.0,50.0,10.10,0
Mair Group,006P700000PtQGP,True,96.0,84.0,10.10,0
UNITED STEEL INDUSTRIAL CO.,006P700000X68O7,True,25.0,24.0,10.10,0
Elbe Flugzeugwerke GmbH,006P700000OyJOX,True,17.0,10.0,10.10,0
Forbo Flooring Systems,006P700000Kpq14,True,37.0,20.0,10.10,0
GCB Bank,006P700000VVQve,True,27.0,22.0,10.10,0
Khansaheb,006P700000LtIUv,True,36.0,26.0,10.10,0
vivaaerobus.com,006P700000YPin8,True,44.0,56.0,10.10,0
YTL Cement Berhad,006P700000VTaRN,True,26.0,32.0,10.10,0
005P7000004ou6MIAQ,006P700000T7y8Q,True,18.0,12.0,10.10,0
Lapp Gruppe,006P700000W1Rer,True,43.0,50.0,10.10,0
Temasek,006P700000BV2eA,True,40.0,58.0,10.10,0
Wheelson Technologies,006P700000VlPdp,True,26.0,19.0,10.10,0
Foundever Group,006P700000OaMiX,True,33.0,30.0,10.10,0
Ahlstrom,006P700000Wot0T,True,30.0,34.0,10.10,0
MFAM,006P700000S0WKk,True,24.0,22.0,10.10,0
IDB Invest,006P700000Pe7fV,True,46.0,53.0,10.10,0
GRAINCORP,006P700000Eumuk,True,24.0,8.0,10.10,0
Riyadh Cables,006P700000YR8lt,True,14.0,10.0,10.10,0
Greater Orlando Aviation Authority,006P700000Ze1aj,True,18.0,38.0,10.10,0
Alpla,006P700000VicUN,True,32.0,30.0,10.10,0
Beko Global,006P700000DtZww,True,20.0,18.0,10.10,0
Maxis Bhd,006P700000W5OP3,True,39.0,40.0,10.10,0
"Mizuho Bank, Ltd.",006P7000009T3v1,True,38.0,20.0,10.10,0
"Bass Pro, LLC",006P700000VCKnV,True,44.0,45.0,10.10,0
Global Switch,006P700000VSLhB,True,78.0,76.0,10.10,0
LCS (Life Care Services),006P700000CWvfN,True,12.0,5.0,10.10,0
Henry Schein Inc,006P700000Lsixf,True,18.0,0.0,10.10,0
LC Waikiki,006P700000Q2HvR,True,10.0,6.0,10.10,0
Thompson Pipe Group,006P700000XjMpN,True,32.0,42.0,10.10,0
Turnwell,006P700000Zfh3G,True,22.0,20.0,10.10,0
Symrise,006P700000WWNtY,True,14.0,16.0,10.10,0
Sylvamo,006P700000OrOHi,True,8.0,3.0,10.10,0
rassini.com,006P700000S3XNW,True,8.0,10.0,10.10,0
Cascades inc,006P700000Xztas,True,24.0,38.0,10.10,0
IPG,006P700000ZLKFk,True,18.0,33.0,10.10,0
Promotora Ambiental,006P700000WjoPd,True,6.0,5.0,10.10,0
Quest Diagnostics Incorporated,006P700000Sy8SP,True,8.0,8.0,10.10,0
"AdaptHealth, LLC",006P700000X9bgU,True,12.0,8.0,10.10,0
005P7000004ou6MIAQ,006P700000WjU9D,True,12.0,14.0,10.10,0
ABC Supply Co.,006P700000Kvyok,True,8.0,5.0,10.10,0
Bausch Health Companies Inc,006P700000OX2hz,True,14.0,27.0,10.10,0
"Owens & Minor, Inc",006P700000ZLnJJ,True,16.0,14.0,10.10,0
DAVID YURMAN ENTERPRISES LLC,006P700000O2kk5,True,9.0,0.0,10.10,0
Marvell,006P700000Q0KZF,True,7.0,4.0,10.10,0
"Del Monte Foods, Inc",006P700000aLyin,True,24.0,37.0,10.10,0
Lincoln Financial,006P700000Zw9Rl,True,15.0,38.0,10.10,0
Signet Jewelers,006P700000ZjjRR,True,46.0,56.0,10.10,0
005P7000004ou6MIAQ,006P700000P5m7F,True,10.0,6.0,10.10,0
ArcelorMittal,006P700000YgqGL,True,8.0,10.0,10.10,0
005P7000004ou6MIAQ,006P700000TixDN,True,9.0,15.0,10.10,0
"MedImpact Healthcare Systems, Inc.",006P700000Z82Ez,True,14.0,42.0,10.10,0
Nexteer Automotive Group Limited,006P700000IDIeH,True,14.0,10.0,10.10,0
Commscope Inc,006P700000WWS3a,True,14.0,8.0,10.10,0
"Sukarne, S.A. De C.V.",006P700000ZOe1m,True,12.0,14.0,10.10,0
ZS,006P700000a2ibg,True,26.0,50.0,10.10,0
"Banc of California, Inc.",006P700000YMTFt,True,22.0,28.0,10.10,0
Milliken,006P700000Xx851,True,19.0,26.0,10.10,0
Veritiv,006P700000ZUWcb,True,14.0,18.0,10.10,0
Associated Materials,006P700000V0sBW,True,14.0,8.0,10.10,0
Carmeuse,006P700000YhH6r,True,16.0,33.0,10.10,0
CHEP,006P700000Q0UvB,True,10.0,8.0,10.10,0
Newrez LLC,006P700000U5ssv,True,8.0,4.0,10.10,0
Pacific Seafood,006P700000XqQGL,True,10.0,27.0,10.10,0
Corus Entertainment Inc,006P700000Xmnhn,True,20.0,17.0,10.10,0
Keralty,006P700000Y8u33,True,6.0,10.0,10.10,0
"Riot Games, Inc",006P700000ZRNxH,True,13.0,24.0,10.10,0
Roark Capital Group Inc.,006P700000YjeQk,True,16.0,17.0,10.10,0
SLB,006P700000Vh9Fu,True,12.0,15.0,10.10,0
005P7000004ou6MIAQ,006P700000RxBPh,True,14.0,8.0,10.10,0
ABB,006P700000a5fH7,True,22.0,42.0,10.10,0
ABM Industries Incorporated,006P700000TUz0Z,True,10.0,5.0,10.10,0
"Sunrun, Inc.",006P700000QyBpe,True,12.0,26.0,10.10,0
Apotex Inc,006P700000Pe2j5,True,18.0,30.0,10.10,0
Dover Corporation,006P700000WgdDq,True,13.0,8.0,10.10,0
Federated Co-operatives Limited,006P700000Q9ZSb,True,14.0,10.0,10.10,0
TEGNA Inc,006P700000WVivH,True,16.0,8.0,10.10,0
PSEG,006P700000XpTBS,True,10.0,30.0,10.10,0
The Chemours Company,006P700000NSeID,True,8.0,3.0,10.10,0
"Airbnb, Inc",006P700000SN4fW,True,5.0,7.0,10.10,0
Los Angeles Department of Water and Power,006P700000Y0p3m,True,12.0,8.0,10.10,0
Beckman Coulter,006P700000YPtCG,True,5.0,8.0,10.10,0
Laboratory Corporation of America,006P700000Ppeea,True,16.0,8.0,10.10,0
The Boston Beer Company,006P700000YPgtw,True,9.0,5.0,10.10,0
EDENOR,006P700000Url2j,True,14.0,5.0,10.10,0
ITT INC,006P700000Y0Ep0,True,14.0,12.0,10.10,0
Welltower Inc.,006P700000XPtCn,True,17.0,12.0,10.10,0
005P7000004ou6MIAQ,006P700000R80Cz,True,14.0,16.0,10.10,0
Herbalife,006P700000P4Uab,True,8.0,5.0,10.10,0
"IDEXX Laboratories, Inc.",006P700000VmtGT,True,10.0,4.0,10.10,0
Link,006P700000U6XUf,True,8.0,4.0,10.10,0
The Lubrizol Corporation,006P700000Zj63W,True,14.0,35.0,10.10,0
Alcoa Corporation,006P700000VspyB,True,12.0,15.0,10.10,0
"Etsy, Inc",006P700000OkmyJ,True,14.0,8.0,10.10,0
World Bank Group,006P700000Gnimf,True,14.0,18.0,10.10,0
"Jazz Pharmaceuticals, Inc",006P700000ZBAXo,True,20.0,15.0,10.10,0
Louisiana Department Of Transportation and Development,006P700000TCnnR,True,13.0,33.0,10.10,0
McCain Foods Limited,006P700000Lz9jp,True,9.0,27.0,10.10,0
Resorts World Las Vegas,006P700000YQeW6,True,8.0,14.0,10.10,0
Travel + Leisure,006P700000PqJMk,True,10.0,3.0,10.10,0
First Horizon Bank,006P700000ZguJN,True,20.0,22.0,10.10,0
Alkermes Inc,006P700000XzzOa,True,15.0,16.0,10.10,0
Howard Hughes Medical Institute,006P700000WEcMO,True,10.0,8.0,10.10,0
"McCormick & Company, Inc",006P700000WEf5i,True,10.0,8.0,10.10,0
Intuit Inc,006P700000VYjNS,True,8.0,12.0,10.10,0
Mattel,006P700000YQ7dN,True,5.0,3.0,10.10,0
Allegiant Travel Company,006P700000RFjmx,True,12.0,3.0,10.10,0
goodfellowbros,006P700000VW7XZ,True,10.0,12.0,10.10,0
Fulton Bank,006P700000MHKs5,True,9.0,12.0,10.10,0
Veolia Water Technologies,006P700000YPDo6,True,23.0,30.0,10.10,0
Whirlpool Corporation,006P700000NSKkw,True,10.0,8.0,10.10,0
Metso Oyj,006P700000Xq42w,True,10.0,7.0,10.10,0
Tekni-Plex Inc,006P700000XQiYi,True,12.0,24.0,10.10,0
